date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:55	76124/76124	---M-Z	200	added ('OK')	text/html	etag:%221295c-5fdb0d74083e9-gzip%22	https://shreethemes.in/techwind/layouts/index.html	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/index.html	(from )
11:48:56	277/277	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Jul%202023%2006:18:59%20GMT	https://shreethemes.in/robots.txt		(from )
11:48:56	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223c2e-5df1d6725f731%22	https://shreethemes.in/techwind/layouts/assets/images/favicon.ico	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/favicon.ico	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:56	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5df1d672b0811-gzip%22	https://shreethemes.in/techwind/layouts/assets/libs/tiny-slider/tiny-slider.css	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/libs/tiny-slider/tiny-slider.css	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:57	66419/66419	---M-Z	200	added ('OK')	text/css	etag:%2210373-5df1d67281a11-gzip%22	https://shreethemes.in/techwind/layouts/assets/libs/@iconscout/unicons/css/line.css	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/libs/@iconscout/unicons/css/line.css	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:57	339252/339252	---M-Z	200	added ('OK')	text/css	etag:%2252d34-5fdb0d73f89e8-gzip%22	https://shreethemes.in/techwind/layouts/assets/libs/@mdi/font/css/materialdesignicons.min.css	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:57	265229/265229	---M-Z	200	added ('OK')	text/css	etag:%2240c0d-5fdb0d73f0ce8-gzip%22	https://shreethemes.in/techwind/layouts/assets/css/tailwind.css	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/css/tailwind.css	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:57	3914/3914	---M--	200	added ('OK')	image/png	etag:%22f4a-5df1d672700d1%22	https://shreethemes.in/techwind/layouts/assets/images/logo-dark.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/logo-dark.png	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:57	3011/3011	---M--	200	added ('OK')	image/png	etag:%22bc3-5df1d672700d1%22	https://shreethemes.in/techwind/layouts/assets/images/logo-light.png	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/assets/images/logo-light.png	(from https://shreethemes.in/techwind/layouts/index.html)
11:48:58	89791/89791	---M-Z	200	added ('OK')	text/html	etag:%2215ebf-5feb0fe34378b-gzip%22	https://shreethemes.in/techwind/layouts/index-saas.html	C:/Users/alpes/Desktop/shree/shree/shreethemes.in/techwind/layouts/index-saas.html	(from https://shreethemes.in/techwind/layouts/index.html)
